[LipidProcessor.py:<module>:190]-2017-09-22 16:45:58,030-customLogger-INFO: Start to extract data from lipid text file
[LipidProcessor.py:loadTextFile:49]-2017-09-22 16:45:58,032-customLogger-INFO: header number: 217, headers: ['LipidIon', 'Class', 'FattyAcid', 'FA1', 'FA2', 'FA3', 'FA4', 'CalcMz', 'IonFormula', 'ARatio[s1/c]', 'HRatio[s1/c]', 'ADiff[s1/c]', 'HDiff[s1/c]', 'GroupArea[c]', 'GroupArea[s1]', 'GroupHeight[c]', 'GroupHeight[s1]', 'GroupTopPos[c]', 'GroupTopPos[s1]', 'Area[c-1]', 'Area[c-2]', 'Area[c-3]', 'Area[c-4]', 'Area[c-5]', 'Area[c-6]', 'Area[c-7]', 'Area[c-8]', 'Area[c-9]', 'Area[s1-1]', 'Area[s1-2]', 'Height[c-1]', 'Height[c-2]', 'Height[c-3]', 'Height[c-4]', 'Height[c-5]', 'Height[c-6]', 'Height[c-7]', 'Height[c-8]', 'Height[c-9]', 'Height[s1-1]', 'Height[s1-2]', 'NormArea[c-1]', 'NormArea[c-2]', 'NormArea[c-3]', 'NormArea[c-4]', 'NormArea[c-5]', 'NormArea[c-6]', 'NormArea[c-7]', 'NormArea[c-8]', 'NormArea[c-9]', 'NormArea[s1-1]', 'NormArea[s1-2]', 'NormHeight[c-1]', 'NormHeight[c-2]', 'NormHeight[c-3]', 'NormHeight[c-4]', 'NormHeight[c-5]', 'NormHeight[c-6]', 'NormHeight[c-7]', 'NormHeight[c-8]', 'NormHeight[c-9]', 'NormHeight[s1-1]', 'NormHeight[s1-2]', 'TopPos[c-1]', 'TopPos[c-2]', 'TopPos[c-3]', 'TopPos[c-4]', 'TopPos[c-5]', 'TopPos[c-6]', 'TopPos[c-7]', 'TopPos[c-8]', 'TopPos[c-9]', 'TopPos[s1-1]', 'TopPos[s1-2]', 'Hwhm(L)[c-1]', 'Hwhm(L)[c-2]', 'Hwhm(L)[c-3]', 'Hwhm(L)[c-4]', 'Hwhm(L)[c-5]', 'Hwhm(L)[c-6]', 'Hwhm(L)[c-7]', 'Hwhm(L)[c-8]', 'Hwhm(L)[c-9]', 'Hwhm(L)[s1-1]', 'Hwhm(L)[s1-2]', 'Hwhm(R)[c-1]', 'Hwhm(R)[c-2]', 'Hwhm(R)[c-3]', 'Hwhm(R)[c-4]', 'Hwhm(R)[c-5]', 'Hwhm(R)[c-6]', 'Hwhm(R)[c-7]', 'Hwhm(R)[c-8]', 'Hwhm(R)[c-9]', 'Hwhm(R)[s1-1]', 'Hwhm(R)[s1-2]', 'AreaScore[c-1]', 'AreaScore[c-2]', 'AreaScore[c-3]', 'AreaScore[c-4]', 'AreaScore[c-5]', 'AreaScore[c-6]', 'AreaScore[c-7]', 'AreaScore[c-8]', 'AreaScore[c-9]', 'AreaScore[s1-1]', 'AreaScore[s1-2]', 'DataId[c-1]', 'DataId[c-2]', 'DataId[c-3]', 'DataId[c-4]', 'DataId[c-5]', 'DataId[c-6]', 'DataId[c-7]', 'DataId[c-8]', 'DataId[c-9]', 'DataId[s1-1]', 'DataId[s1-2]', 'Scan[c-1]', 'Scan[c-2]', 'Scan[c-3]', 'Scan[c-4]', 'Scan[c-5]', 'Scan[c-6]', 'Scan[c-7]', 'Scan[c-8]', 'Scan[c-9]', 'Scan[s1-1]', 'Scan[s1-2]', 'ObsMz[c-1]', 'ObsMz[c-2]', 'ObsMz[c-3]', 'ObsMz[c-4]', 'ObsMz[c-5]', 'ObsMz[c-6]', 'ObsMz[c-7]', 'ObsMz[c-8]', 'ObsMz[c-9]', 'ObsMz[s1-1]', 'ObsMz[s1-2]', 'Rt[c-1]', 'Rt[c-2]', 'Rt[c-3]', 'Rt[c-4]', 'Rt[c-5]', 'Rt[c-6]', 'Rt[c-7]', 'Rt[c-8]', 'Rt[c-9]', 'Rt[s1-1]', 'Rt[s1-2]', 'It.[c-1]', 'It.[c-2]', 'It.[c-3]', 'It.[c-4]', 'It.[c-5]', 'It.[c-6]', 'It.[c-7]', 'It.[c-8]', 'It.[c-9]', 'It.[s1-1]', 'It.[s1-2]', 'z[c-1]', 'z[c-2]', 'z[c-3]', 'z[c-4]', 'z[c-5]', 'z[c-6]', 'z[c-7]', 'z[c-8]', 'z[c-9]', 'z[s1-1]', 'z[s1-2]', 'Delta(Da)[c-1]', 'Delta(Da)[c-2]', 'Delta(Da)[c-3]', 'Delta(Da)[c-4]', 'Delta(Da)[c-5]', 'Delta(Da)[c-6]', 'Delta(Da)[c-7]', 'Delta(Da)[c-8]', 'Delta(Da)[c-9]', 'Delta(Da)[s1-1]', 'Delta(Da)[s1-2]', 'Delta(ppm)[c-1]', 'Delta(ppm)[c-2]', 'Delta(ppm)[c-3]', 'Delta(ppm)[c-4]', 'Delta(ppm)[c-5]', 'Delta(ppm)[c-6]', 'Delta(ppm)[c-7]', 'Delta(ppm)[c-8]', 'Delta(ppm)[c-9]', 'Delta(ppm)[s1-1]', 'Delta(ppm)[s1-2]', 'mScore[c-1]', 'mScore[c-2]', 'mScore[c-3]', 'mScore[c-4]', 'mScore[c-5]', 'mScore[c-6]', 'mScore[c-7]', 'mScore[c-8]', 'mScore[c-9]', 'mScore[s1-1]', 'mScore[s1-2]', 'tScore[c-1]', 'tScore[c-2]', 'tScore[c-3]', 'tScore[c-4]', 'tScore[c-5]', 'tScore[c-6]', 'tScore[c-7]', 'tScore[c-8]', 'tScore[c-9]', 'tScore[s1-1]', 'tScore[s1-2]']
[LipidProcessor.py:loadTextFile:78]-2017-09-22 16:45:58,032-customLogger-DEBUG: Data in column style: 
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,032-customLogger-DEBUG: 1:5:['LipidIon', 'CL(14:0/14:0/14:0/14:0)-H', 'Cer(d18:0+pO/2:0)-H', 'ChE(2:0)-H', 'FA(20:2)-H']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 34:5:['Height[c-4]', '4580506.979', '314060.422', '184121.542', '6955419.359']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 35:5:['Height[c-5]', '4411434.596', '72103.17', '169707.522', '7664989.751']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 36:5:['Height[c-6]', '4059988.691', '91817.67', '171864.568', '7414459.764']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 37:5:['Height[c-7]', '5284016.833', '373810.156', '169264.368', '7357936.006']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 38:5:['Height[c-8]', '3507195.47', '63835.89', '178197.824', '7243104.095']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 39:5:['Height[c-9]', '5181093.038', '285295.863', '163408.693', '6562425.164']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 40:5:['Height[s1-1]', '3879423.371', '360548.305', '227260.61', '8169288.053']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 41:5:['Height[s1-2]', '3382022.948', '404785.394', '187034.286', '8258026.672']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 42:5:['NormArea[c-1]', '2.44E+07', '895557.466', '2789904.863', '7.02E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 43:5:['NormArea[c-2]', '2.35E+07', '1563980.313', '2579683.035', '7.13E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 44:5:['NormArea[c-3]', '2.54E+07', '2321310.177', '2310285.436', '8.23E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 45:5:['NormArea[c-4]', '2.54E+07', '5265545.172', '1876944.344', '7.50E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 46:5:['NormArea[c-5]', '2.02E+07', '1229397.046', '1704925.937', '8.37E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 47:5:['NormArea[c-6]', '2.45E+07', '3832250.674', '1642362.975', '8.36E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 48:5:['NormArea[c-7]', '3.04E+07', '2165924.692', '1790924.332', '7.16E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 49:5:['NormArea[c-8]', '2.34E+07', '1337262.7', '1819278.61', '7.97E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 50:5:['NormArea[c-9]', '3.12E+07', '3533301.73', '1674797.37', '8.51E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 51:5:['NormArea[s1-1]', '2.25E+07', '1245047.961', '2283994.446', '9.02E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 52:5:['NormArea[s1-2]', '2.14E+07', '1740417.526', '1892072.475', '8.43E+07']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,033-customLogger-DEBUG: 53:5:['NormHeight[c-1]', '4055097.304', '284677.404', '269817.858', '6357666.442']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 54:5:['NormHeight[c-2]', '4617253.079', '450883.63', '235231.733', '5810786.701']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 55:5:['NormHeight[c-3]', '4438121.426', '119240.686', '372473.341', '7434345.601']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 56:5:['NormHeight[c-4]', '4580506.979', '314060.422', '184121.542', '6955419.359']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 57:5:['NormHeight[c-5]', '4411434.596', '72103.17', '169707.522', '7664989.751']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 58:5:['NormHeight[c-6]', '4059988.691', '91817.67', '171864.568', '7414459.764']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 59:5:['NormHeight[c-7]', '5284016.833', '373810.156', '169264.368', '7357936.006']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 60:5:['NormHeight[c-8]', '3507195.47', '63835.89', '178197.824', '7243104.095']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 61:5:['NormHeight[c-9]', '5181093.038', '285295.863', '163408.693', '6562425.164']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 62:5:['NormHeight[s1-1]', '3879423.371', '360548.305', '227260.61', '8169288.053']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 63:5:['NormHeight[s1-2]', '3382022.948', '404785.394', '187034.286', '8258026.672']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 64:5:['TopPos[c-1]', '19.299', '6.535', '0.952', '5.155']
[LipidProcessor.py:loadTextFile:82]-2017-09-22 16:45:58,035-customLogger-DEBUG: 65:5:['TopPos[c-2]', '19.302', '6.526', '0.947', '5.151']
